apn,licenseNumber,licenseType,licenseStatus,issueDate,expirationYear,expirationDate,licenseName,address,endorsements,ward,neighborhood,lastUpdateDate,X,Y,issueMonth,issueYear,duration,Wine,On Sale,Add Strong Beer,No Entertainment,Liquor,General Entertainment,Bottle Club,Limited Entertainment,Class A,Adult Entertainment,Class E Entertainment,Taproom Class E Entertainment,Taproom No Entertainment,Taproom Class C1 Entertainment,Taproom Limited Entertainment,Beer,Class C1 Entertainment,Class B Entertainment,Class D Entertainment,Class A Entertainment,Distillery,Class C2 Entertainment,BL Sunday Sales Exemption,Culinary Classes
1602924230228,LIC395307,BLWine,Approved,2023-04-21 09:54:32,2024,2024-04-01 23:59:00,Capri Theater,2027 WEST BROADWAY," Wine, On Sale, Add Strong Beer; Wine, On Sale, General Entertainment",5,Willard - Hay,2023-04-23 18:15:24,-93.3064011367865,45.0023498108221,4,2023,346 days 14:04:28,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1202824420073,LIC396143,BLWine,Approved,2023-03-17 10:17:39,2024,2024-04-01 23:59:59,Buster's On 28th,4204 28TH AVE S," Wine, On Sale, No Entertainment; Wine, On Sale, Add Strong Beer",12,Standish,2023-03-19 18:15:21,-93.2324943578265,44.926681874203,3,2023,381 days 13:42:20,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2402924420037,LIC66170,BLWine,Approved,2023-03-17 10:17:03,2024,2024-04-01 00:00:00,Tony's Diner,1327 4TH ST SE," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",3,Marcy Holmes,2023-03-19 18:15:21,-93.2360169880255,44.9809688402234,3,2023,380 days 13:42:57,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
2902924140020,LIC65149,BLWine,Approved,2023-05-05 10:08:22,2024,2024-04-01 00:00:00,Cuppa Java,400 PENN AVE S," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",7,Bryn - Mawr,2023-05-07 18:15:24,-93.3086456592706,44.9732979150569,5,2023,331 days 13:51:38,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
2002824120211,LIC65849,BLWine,Approved,2023-05-05 10:08:35,2024,2024-04-01 00:00:00,Cave Vin,5555 XERXES AVE S," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",13,Armatage,2023-05-07 18:15:24,-93.3184605370805,44.9018609179285,5,2023,331 days 13:51:25,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
3102923430042,LIC65473,BLWine,Approved,2023-05-05 10:08:16,2024,2024-04-01 00:00:00,El Norteno Market & Deli,4000 LAKE ST E," Wine, On Sale, Class D Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, Limited Entertainment",2,Cooper,2023-05-07 18:15:24,-93.2150276537827,44.9485851939658,5,2023,331 days 13:51:44,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
0602823210208,LIC396279,BLWine,Approved,2023-04-21 09:54:12,2024,2024-04-01 23:59:59,Midori's Floating World Caf̩,3425 LAKE ST E," Liquor, On Sale, No Entertainment; Wine, On Sale, Add Strong Beer",2,Longfellow,2023-04-23 18:15:24,-93.2221204673984,44.948089983831,4,2023,346 days 14:05:47,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2402924420019,LIC385932,BLWine,Approved,2023-05-05 10:08:42,2024,2024-04-01 23:59:59,Bonchon Dinky,406 14TH AVE SE," Wine, On Sale, No Entertainment; Wine, On Sale, Add Strong Beer",3,Marcy Holmes,2023-05-07 18:15:24,-93.2351679624027,44.9806478958972,5,2023,332 days 13:51:17,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
0802824330164,LIC406543,BLWine,Pending,2023-03-23 08:42:48,2024,2024-04-01 00:00:00,France 44 Cheese Shop,4351 FRANCE AVE S," Wine, On Sale, No Entertainment; Wine, On Sale, Add Strong Beer",13,Linden Hills,2023-03-24 18:15:23,-93.3284677172434,44.9229102380519,3,2023,374 days 15:17:12,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2202924440100,LIC358141,BLLiquor,Pending,2020-07-27 08:46:39,2022,2022-10-01 00:00:00,Sphere,100 5TH ST S #250," Liquor, On Sale, Class E Entertainment; Liquor, On Sale, No Entertainment",7,Downtown West,2023-08-06 18:15:20,-93.2686289913156,44.9783674328441,7,2020,795 days 15:13:21,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
